jurisdiction,state,county
MAYTOWN TOWN,AL,JEFFERSON COUNTY
MIDFIELD,AL,JEFFERSON COUNTY
MILLBROOK,AL,ELMORE COUNTY
MOBILE,AL,MOBILE COUNTY
MOBILE COUNTY UNINCORPORATED AREA,AL,MOBILE COUNTY
MONTEVALLO,AL,SHELBY COUNTY
MONTGOMERY,AL,MONTGOMERY COUNTY
MONTGOMERY COUNTY UNINCORPORATED AREA,AL,MONTGOMERY COUNTY
MOODY TOWN,AL,ST. CLAIR COUNTY
MORRIS TOWN,AL,JEFFERSON COUNTY
MOULTON,AL,LAWRENCE COUNTY
MOUNDVILLE TOWN,AL,HALE COUNTY
MOUNT VERNON TOWN,AL,MOBILE COUNTY
MOUNTAIN BROOK,AL,JEFFERSON COUNTY
MULGA TOWN,AL,JEFFERSON COUNTY
MUSCLE SHOALS,AL,COLBERT COUNTY
NEW HOPE,AL,MADISON COUNTY
NEWBERN TOWN,AL,HALE COUNTY
NEWVILLE TOWN,AL,HENRY COUNTY
NORTH JOHNS TOWN,AL,JEFFERSON COUNTY
NORTHPORT,AL,TUSCALOOSA COUNTY
OAKMAN TOWN,AL,WALKER COUNTY
ODENVILLE TOWN,AL,ST. CLAIR COUNTY
OHATCHEE TOWN,AL,CALHOUN COUNTY
ONEONTA,AL,BLOUNT COUNTY
OPELIKA,AL,LEE COUNTY
ORANGE BEACH,AL,BALDWIN COUNTY
OWENS CROSSROADS TOWN,AL,MADISON COUNTY
OXFORD,AL,CALHOUN COUNTY
PELHAM,AL,SHELBY COUNTY
PELL CITY,AL,ST. CLAIR COUNTY
PHENIX CITY,AL,RUSSELL COUNTY
PIEDMONT,AL,CALHOUN COUNTY
PIKE ROAD TOWN,AL,MONTGOMERY COUNTY
PLEASANT GROVE,AL,JEFFERSON COUNTY
PRATTVILLE,AL,AUTAUGA COUNTY
PRICEVILLE TOWN,AL,MORGAN COUNTY
PRICHARD,AL,MOBILE COUNTY
RAINBOW CITY,AL,ETOWAH COUNTY
REECE CITY TOWN,AL,ETOWAH COUNTY
REFORM TOWN,AL,PICKENS COUNTY
REHOBETH TOWN,AL,HOUSTON COUNTY
RIDGEVILLE TOWN,AL,ETOWAH COUNTY
